web_id,dagligleder,avdelingsleder,fagansvarlig,besoksadresse,email,telefon,short_name
6,3000174,3000174,3000175,Storgata 10,joran.martinsen@gobb.no,611 81 300,Gjøvik
11,3000327,3000327,3000327,Hauges gate 3,drammen@partners.no,901 47 380,Drammen
3000014,3000336,3000336,3000337,Dr. Holmsvei 3,post@leinaes.no,33 13 52 50,Larvik
3000028,3000598,3000598,3001327,Storgaten 47,post@bs-partners.no,333 11 333,Tønsberg
3000109,3000637,3000637,3000637,Dronningens gate 28,post@oldenpartners.no,48 13 88 48,Trondheim
3000047,3000774,3000774,3000774,Vestregate 3,post@arendalpartners.no,37 00 26 30,Arendal
3000051,3000827,3000827,3000827,Breigata 19,firmapost@huuspartners.no,51 89 70 70,Stavanger
3000060,3000174,3000174,3000175,Lenagata 30,joran.martinsen@gobb.no,611 81 300,Lena
3000061,3000174,3000174,3000175,Storgata 28,trine@gjestvangpartners.no,970 37 811,Dokka
3000062,3000174,3000174,3000175,Storgata 49,joran.martinsen@gobb.no,993 08 546,Raufoss
3000081,3001423,3001423,3001423,Notenesgata 12,alesund@aursnespartners.no,46 11 3000,Ålesund
3000090,3001515,3001515,3001515,St. Marie gate 112,sarpsborg@gpartners.no,69 11 32 00,Sarpsborg
3000072,3001354,3001604,3001354,Rådhusgata 7A,pk@sydvendtpartners.no,69 81 60 40,Askim
21,3000564,3000564,3000564,Skulegata 9,sykkylven@aursnespartners.no,46 11 3000,Sykkylven
3000010,3000247,3000234,3000279,Trondheimsveien 111,vt@schalapartners.no,22 80 99 40,Oslo. Carl Berner
3000026,3000063,3000394,3000113,Nedre Kalbakkvei 2B,kalbakken@schalapartners.no,95 19 51 35,Oslo. Kalbakken
3000007,3000063,3000107,3000113,Schweigaards gate 16,gamleoslo@schalapartners.no,22 50 50 99,Oslo. Bjørvika
3000011,3000247,3000247,3000279,Thorvald Meyers gt 79,bt@schalapartners.no,22 04 08 40,Oslo. Grünerløkka
3000008,3000139,3000139,3000123,Maridalsveien 160,ed@schalapartners.no,21 67 66 65,Oslo. Sagene
3000005,3000039,3000039,3000127,Vogts gate 44,oh@schalapartners.no,45 24 08 17,Oslo. Torshov
